Year,Month,Region,Dry,Temp,Above 35,Burnoff,Hectares,Region Hectares,HectarePerc,Bushfire,Severe Bushfire
2004,1,1,3,38,1,1,480306,"1,000,000",0.48,1,0
2005,1,1,1,23,1,1,31851,"1,000,000",0.03,0,0
2006,1,1,3,35,1,0,401833,"1,000,000",0.4,0,0
2007,1,1,2,34,1,0,483639,"1,000,000",0.48,0,1
2008,1,1,5,24,1,1,243242,"1,000,000",0.24,1,1
2009,1,1,1,36,1,1,212997,"1,000,000",0.21,1,0
2010,1,1,1,32,0,0,292205,"1,000,000",0.29,1,0
2011,1,1,4,21,0,0,455508,"1,000,000",0.46,0,0
2012,1,1,1,27,0,1,176508,"1,000,000",0.18,0,1
2013,1,1,1,24,1,0,485297,"1,000,000",0.49,1,1
2014,1,1,5,24,0,1,112082,"1,000,000",0.11,0,0
2015,1,1,5,32,0,0,345696,"1,000,000",0.35,1,1
2016,1,1,2,24,1,1,298946,"1,000,000",0.3,0,0
1955,2,1,1,23,1,1,384393,"1,000,000",0.38,1,1
1956,2,1,5,34,0,1,31038,"1,000,000",0.03,0,0
1957,2,1,1,29,1,0,361659,"1,000,000",0.36,0,0
1958,2,1,1,21,0,0,249761,"1,000,000",0.25,1,1
1959,2,1,1,22,1,0,411025,"1,000,000",0.41,1,1
1960,2,1,5,30,0,1,379599,"1,000,000",0.38,0,1
1961,2,1,5,22,1,0,426174,"1,000,000",0.43,1,1
1962,2,1,5,20,1,0,386944,"1,000,000",0.39,1,0
1963,2,1,2,35,0,0,200831,"1,000,000",0.2,0,0
1964,2,1,4,26,0,1,298532,"1,000,000",0.3,0,0
1965,2,1,3,29,1,0,437430,"1,000,000",0.44,0,0
1966,2,1,4,40,1,0,103493,"1,000,000",0.1,0,0
1967,2,1,3,32,0,0,198847,"1,000,000",0.2,0,0
1968,2,1,3,39,1,1,106686,"1,000,000",0.11,1,1
1969,2,1,1,40,0,0,390111,"1,000,000",0.39,0,1
1970,2,1,5,40,1,0,62419,"1,000,000",0.06,0,0
1971,2,1,3,34,0,1,454776,"1,000,000",0.45,0,1
1972,2,1,2,37,1,1,290408,"1,000,000",0.29,0,1
1973,2,1,2,25,0,0,438466,"1,000,000",0.44,0,0
1974,2,1,2,29,1,1,101973,"1,000,000",0.1,0,0
1975,2,1,5,30,0,1,171470,"1,000,000",0.17,0,1
1976,2,1,2,34,1,0,435488,"1,000,000",0.44,1,1
1977,2,1,1,31,0,1,406007,"1,000,000",0.41,0,1
1978,2,1,4,39,1,1,473512,"1,000,000",0.47,0,0
1979,2,1,5,32,1,1,246235,"1,000,000",0.25,0,1
1980,2,1,5,35,0,0,301454,"1,000,000",0.3,1,0
1981,2,1,1,34,0,0,385937,"1,000,000",0.39,0,1
1982,2,1,4,21,1,1,296681,"1,000,000",0.3,0,0
1983,2,1,1,28,0,1,96745,"1,000,000",0.1,0,0
1984,2,1,5,26,0,1,321720,"1,000,000",0.32,1,1
1985,2,1,1,35,0,1,182045,"1,000,000",0.18,1,1
1986,2,1,1,32,1,1,491443,"1,000,000",0.49,1,1
1987,2,1,5,31,1,1,467296,"1,000,000",0.47,0,0
1988,2,1,2,23,0,0,211570,"1,000,000",0.21,0,1
1989,2,1,2,31,1,0,69280,"1,000,000",0.07,0,1
1990,2,1,2,39,0,1,493366,"1,000,000",0.49,1,1
1991,2,1,1,23,0,0,448701,"1,000,000",0.45,1,1
1992,2,1,5,35,0,1,372537,"1,000,000",0.37,0,0
1993,2,1,4,38,1,0,357572,"1,000,000",0.36,0,1
1994,2,1,3,37,0,1,132861,"1,000,000",0.13,0,0
1995,2,1,5,35,1,1,320996,"1,000,000",0.32,1,0
1996,2,1,4,24,1,0,69046,"1,000,000",0.07,0,0
1997,2,1,2,28,1,1,285456,"1,000,000",0.29,1,1
1998,2,1,1,39,1,0,40114,"1,000,000",0.04,0,1
1999,2,1,4,34,1,1,145282,"1,000,000",0.15,0,0
2000,2,1,5,23,0,1,310928,"1,000,000",0.31,1,0
2001,2,1,2,24,1,0,200578,"1,000,000",0.2,1,0
2002,2,1,1,21,1,1,497215,"1,000,000",0.5,1,0
2003,2,1,4,24,0,1,320290,"1,000,000",0.32,0,0
2004,2,1,1,32,1,1,423313,"1,000,000",0.42,1,1
2005,2,1,1,23,0,1,456093,"1,000,000",0.46,0,1
2006,2,1,5,22,0,0,143943,"1,000,000",0.14,0,1
2007,2,1,5,31,0,0,139227,"1,000,000",0.14,0,0
2008,2,1,5,39,0,0,383595,"1,000,000",0.38,1,1
2009,2,1,5,38,0,1,191866,"1,000,000",0.19,1,1
2010,2,1,5,21,0,0,217610,"1,000,000",0.22,1,1
2011,2,1,1,26,0,0,58343,"1,000,000",0.06,0,1
2012,2,1,2,32,0,0,57397,"1,000,000",0.06,1,0
2013,2,1,3,32,0,0,161606,"1,000,000",0.16,1,1
2014,2,1,4,20,0,1,282534,"1,000,000",0.28,1,1
2015,2,1,2,39,1,0,407334,"1,000,000",0.41,0,0
2016,2,1,5,24,0,0,428972,"1,000,000",0.43,0,1
1955,3,1,3,29,1,0,382333,"1,000,000",0.38,1,1
1956,3,1,3,31,0,1,97088,"1,000,000",0.1,1,1
1957,3,1,1,20,0,0,96340,"1,000,000",0.1,0,0
1958,3,1,5,31,1,0,192641,"1,000,000",0.19,1,1
1959,3,1,3,30,0,0,105910,"1,000,000",0.11,1,1
1960,3,1,4,32,1,0,124457,"1,000,000",0.12,1,1
1961,3,1,2,28,1,1,252290,"1,000,000",0.25,0,1
1962,3,1,1,37,0,1,429936,"1,000,000",0.43,1,1
1963,3,1,3,30,1,0,298351,"1,000,000",0.3,1,0
1964,3,1,3,20,1,0,374032,"1,000,000",0.37,0,0
1965,3,1,2,25,0,1,433038,"1,000,000",0.43,1,1
1966,3,1,4,31,1,1,354165,"1,000,000",0.35,1,1
1967,3,1,2,38,1,1,224570,"1,000,000",0.22,1,1
1968,3,1,4,21,1,0,441404,"1,000,000",0.44,0,0
1969,3,1,2,24,0,0,330919,"1,000,000",0.33,0,1
1970,3,1,4,22,0,1,460430,"1,000,000",0.46,0,1
1971,3,1,2,31,0,0,177370,"1,000,000",0.18,0,0
1972,3,1,5,22,1,0,299388,"1,000,000",0.3,1,1
1973,3,1,3,20,0,1,346347,"1,000,000",0.35,1,0
1974,3,1,2,32,0,0,476182,"1,000,000",0.48,1,0
1975,3,1,3,23,1,0,332435,"1,000,000",0.33,0,0
1976,3,1,5,39,0,0,325676,"1,000,000",0.33,0,1
1977,3,1,4,36,0,0,197152,"1,000,000",0.2,0,1
1978,3,1,3,23,1,1,216591,"1,000,000",0.22,1,1
1979,3,1,1,24,0,0,415762,"1,000,000",0.42,0,1
1980,3,1,1,37,1,1,295653,"1,000,000",0.3,1,0
1981,3,1,4,39,0,1,406918,"1,000,000",0.41,1,1
1982,3,1,3,35,0,0,89224,"1,000,000",0.09,0,1
1983,3,1,2,21,1,0,70770,"1,000,000",0.07,1,1
1984,3,1,2,33,1,1,458714,"1,000,000",0.46,1,0
1985,3,1,4,20,1,0,6527,"1,000,000",0.01,0,1
1986,3,1,3,22,0,1,462733,"1,000,000",0.46,1,0
1987,3,1,1,40,1,0,433652,"1,000,000",0.43,1,0
1988,3,1,3,33,1,1,131462,"1,000,000",0.13,0,0
1989,3,1,1,31,0,0,240147,"1,000,000",0.24,0,0
1990,3,1,2,34,1,0,200342,"1,000,000",0.2,1,0
1991,3,1,4,20,1,1,79551,"1,000,000",0.08,1,1
1992,3,1,2,31,1,0,3113,"1,000,000",0,1,1
1993,3,1,4,38,1,1,155883,"1,000,000",0.16,0,1
1994,3,1,5,20,0,1,385193,"1,000,000",0.39,0,1
1995,3,1,2,23,0,1,86820,"1,000,000",0.09,1,1
1996,3,1,3,38,0,1,15457,"1,000,000",0.02,0,0
1997,3,1,2,32,1,1,252257,"1,000,000",0.25,1,1
1998,3,1,3,20,0,0,410422,"1,000,000",0.41,0,1
1999,3,1,1,32,0,0,159616,"1,000,000",0.16,0,0
2000,3,1,4,23,1,0,173261,"1,000,000",0.17,0,1
2001,3,1,1,32,1,1,389512,"1,000,000",0.39,0,1
2002,3,1,1,26,0,1,10058,"1,000,000",0.01,0,0
2003,3,1,3,21,0,0,389496,"1,000,000",0.39,0,1
2004,3,1,1,26,0,0,51392,"1,000,000",0.05,1,1
2005,3,1,1,29,0,1,437453,"1,000,000",0.44,1,0
2006,3,1,1,22,0,1,209093,"1,000,000",0.21,0,1
2007,3,1,5,27,0,0,494528,"1,000,000",0.49,0,0
2008,3,1,1,24,0,0,204789,"1,000,000",0.2,0,0
2009,3,1,2,36,0,0,106877,"1,000,000",0.11,0,1
2010,3,1,4,38,1,1,5691,"1,000,000",0.01,0,1
2011,3,1,3,21,0,0,61128,"1,000,000",0.06,0,0
2012,3,1,5,36,1,0,387152,"1,000,000",0.39,1,1
2013,3,1,4,37,1,0,89991,"1,000,000",0.09,1,0
2014,3,1,4,36,0,1,339149,"1,000,000",0.34,1,1
2015,3,1,5,23,0,0,190004,"1,000,000",0.19,0,0
2016,3,1,5,30,1,0,319934,"1,000,000",0.32,0,0
1955,4,1,3,23,1,1,71052,"1,000,000",0.07,1,0
1956,4,1,3,29,0,0,287880,"1,000,000",0.29,1,0
1957,4,1,3,38,1,1,51330,"1,000,000",0.05,1,1
1958,4,1,2,21,1,0,292297,"1,000,000",0.29,1,0
1959,4,1,2,39,1,1,212329,"1,000,000",0.21,0,1
1960,4,1,3,39,1,1,410472,"1,000,000",0.41,1,1
1961,4,1,3,39,0,1,14160,"1,000,000",0.01,0,1
1962,4,1,3,28,1,0,127427,"1,000,000",0.13,1,1
1963,4,1,3,34,0,1,312503,"1,000,000",0.31,1,1
1964,4,1,1,30,1,0,31708,"1,000,000",0.03,1,0
1965,4,1,5,39,0,0,405830,"1,000,000",0.41,1,1
1966,4,1,2,24,0,1,209934,"1,000,000",0.21,1,0
1967,4,1,1,25,1,0,60354,"1,000,000",0.06,1,0
1968,4,1,3,24,1,1,277805,"1,000,000",0.28,0,0
1969,4,1,4,24,1,0,126540,"1,000,000",0.13,0,0
1970,4,1,4,31,1,0,94764,"1,000,000",0.09,1,0
1971,4,1,1,27,1,1,139204,"1,000,000",0.14,1,0
1972,4,1,2,29,0,0,81436,"1,000,000",0.08,0,1
1973,4,1,4,39,0,0,144586,"1,000,000",0.14,0,1
1974,4,1,4,24,0,1,271043,"1,000,000",0.27,0,1
1975,4,1,2,20,0,0,380239,"1,000,000",0.38,1,1
1976,4,1,2,32,0,0,259180,"1,000,000",0.26,1,0
1977,4,1,5,38,0,1,331468,"1,000,000",0.33,0,1
1978,4,1,2,22,1,1,187375,"1,000,000",0.19,0,1
1979,4,1,2,39,0,0,133847,"1,000,000",0.13,1,0
1980,4,1,1,28,1,0,498470,"1,000,000",0.5,1,1
1981,4,1,3,21,1,0,181073,"1,000,000",0.18,0,1
1982,4,1,3,39,1,0,43197,"1,000,000",0.04,1,0
1983,4,1,5,21,0,0,388417,"1,000,000",0.39,0,1
1984,4,1,3,25,0,0,150061,"1,000,000",0.15,1,1
1985,4,1,5,34,1,1,90108,"1,000,000",0.09,1,1
1986,4,1,1,33,1,1,422092,"1,000,000",0.42,0,0
1987,4,1,4,39,0,1,361288,"1,000,000",0.36,0,1
1988,4,1,4,38,0,1,389742,"1,000,000",0.39,1,1
1989,4,1,3,24,1,1,419298,"1,000,000",0.42,1,0
1990,4,1,1,32,1,1,394105,"1,000,000",0.39,0,0
1991,4,1,1,29,0,0,91410,"1,000,000",0.09,0,1
1992,4,1,4,26,0,1,64393,"1,000,000",0.06,1,1
1993,4,1,5,40,0,0,489087,"1,000,000",0.49,1,0
1994,4,1,3,30,0,1,186600,"1,000,000",0.19,0,0
1995,4,1,5,37,1,1,441804,"1,000,000",0.44,0,0
1996,4,1,4,25,0,0,96656,"1,000,000",0.1,0,0
1997,4,1,4,33,1,0,311459,"1,000,000",0.31,0,0
1998,4,1,2,36,0,0,88337,"1,000,000",0.09,0,0
1999,4,1,5,37,0,0,446251,"1,000,000",0.45,1,1
2000,4,1,5,21,0,0,36165,"1,000,000",0.04,0,0
2001,4,1,4,21,0,0,235369,"1,000,000",0.24,0,0
2002,4,1,2,32,0,1,448602,"1,000,000",0.45,0,1
2003,4,1,2,23,0,0,169172,"1,000,000",0.17,0,0
2004,4,1,4,27,1,0,390455,"1,000,000",0.39,0,0
2005,4,1,2,36,1,0,172975,"1,000,000",0.17,1,0
2006,4,1,1,40,1,0,300289,"1,000,000",0.3,0,0
2007,4,1,5,32,0,0,68366,"1,000,000",0.07,1,1
2008,4,1,5,38,1,1,470564,"1,000,000",0.47,0,1
2009,4,1,3,29,1,0,350874,"1,000,000",0.35,0,0
2010,4,1,3,35,1,1,215266,"1,000,000",0.22,0,0
2011,4,1,5,25,0,1,46011,"1,000,000",0.05,0,0
2012,4,1,5,35,1,0,389193,"1,000,000",0.39,0,1
2013,4,1,1,24,0,0,193227,"1,000,000",0.19,0,0
2014,4,1,3,34,1,1,461415,"1,000,000",0.46,0,0
2015,4,1,5,36,0,0,416349,"1,000,000",0.42,0,1
2016,4,1,5,28,0,0,204330,"1,000,000",0.2,0,1
1955,5,1,2,32,0,1,399276,"1,000,000",0.4,0,1
1956,5,1,4,27,1,1,14245,"1,000,000",0.01,0,0
1957,5,1,2,35,1,0,162781,"1,000,000",0.16,1,1
1958,5,1,4,21,1,0,454649,"1,000,000",0.45,1,0
1959,5,1,2,31,0,1,407275,"1,000,000",0.41,0,0
1960,5,1,2,31,1,0,445406,"1,000,000",0.45,0,0
1961,5,1,4,20,1,1,27732,"1,000,000",0.03,1,0
1962,5,1,4,28,1,1,338834,"1,000,000",0.34,1,0
1963,5,1,2,27,0,1,340801,"1,000,000",0.34,0,0
1964,5,1,2,20,0,1,27724,"1,000,000",0.03,1,0
1965,5,1,1,24,1,0,464395,"1,000,000",0.46,0,0
1966,5,1,1,39,1,0,32578,"1,000,000",0.03,0,1
1967,5,1,5,40,1,1,330619,"1,000,000",0.33,1,1
1968,5,1,3,36,0,0,90614,"1,000,000",0.09,1,0
1969,5,1,5,22,1,1,240387,"1,000,000",0.24,1,0
1970,5,1,1,36,1,0,352170,"1,000,000",0.35,0,1
1971,5,1,4,22,1,0,271358,"1,000,000",0.27,1,0
1972,5,1,5,21,0,1,203605,"1,000,000",0.2,1,1
1973,5,1,4,39,1,1,71595,"1,000,000",0.07,0,1
1974,5,1,1,39,0,1,475754,"1,000,000",0.48,0,0
1975,5,1,2,35,1,0,206902,"1,000,000",0.21,0,0
1976,5,1,3,38,1,1,100515,"1,000,000",0.1,1,0
1977,5,1,1,25,0,0,125631,"1,000,000",0.13,1,1
1978,5,1,4,25,0,1,484210,"1,000,000",0.48,0,1
1979,5,1,4,30,0,0,51077,"1,000,000",0.05,0,1
1980,5,1,3,23,1,1,241133,"1,000,000",0.24,0,0
1981,5,1,2,30,0,1,317274,"1,000,000",0.32,1,0
1982,5,1,4,39,0,1,326100,"1,000,000",0.33,1,1
1983,5,1,4,36,0,0,161495,"1,000,000",0.16,0,1
1984,5,1,3,22,1,0,383063,"1,000,000",0.38,1,0
1985,5,1,2,34,0,0,355995,"1,000,000",0.36,1,0
1986,5,1,4,26,0,0,132351,"1,000,000",0.13,0,1
1987,5,1,3,25,0,0,121874,"1,000,000",0.12,1,0
1988,5,1,4,30,0,1,100781,"1,000,000",0.1,1,1
1989,5,1,2,29,1,1,54640,"1,000,000",0.05,0,1
1990,5,1,4,29,0,1,30978,"1,000,000",0.03,0,1
1991,5,1,2,37,1,0,87414,"1,000,000",0.09,1,0
1992,5,1,2,34,0,0,99754,"1,000,000",0.1,0,1
1993,5,1,3,23,0,0,472754,"1,000,000",0.47,0,0
1994,5,1,1,35,0,0,432601,"1,000,000",0.43,1,1
1995,5,1,2,26,0,0,365586,"1,000,000",0.37,0,1
1996,5,1,4,26,0,1,479897,"1,000,000",0.48,0,1
1997,5,1,4,37,0,0,492787,"1,000,000",0.49,1,0
1998,5,1,1,29,1,0,123997,"1,000,000",0.12,0,0
1999,5,1,5,36,0,1,428285,"1,000,000",0.43,0,0
2000,5,1,5,22,0,1,387334,"1,000,000",0.39,0,0
2001,5,1,5,32,0,1,50500,"1,000,000",0.05,0,1
2002,5,1,1,30,1,1,201419,"1,000,000",0.2,0,0
2003,5,1,4,39,1,1,95571,"1,000,000",0.1,0,0
2004,5,1,3,26,0,1,328862,"1,000,000",0.33,0,1
2005,5,1,2,23,0,1,133585,"1,000,000",0.13,1,0
2006,5,1,1,37,0,0,9597,"1,000,000",0.01,0,0
2007,5,1,4,32,0,1,465418,"1,000,000",0.47,1,0
2008,5,1,1,36,0,0,127567,"1,000,000",0.13,1,1
2009,5,1,3,28,0,1,19905,"1,000,000",0.02,1,0
2010,5,1,2,32,1,1,292356,"1,000,000",0.29,0,1
2011,5,1,2,30,1,1,272793,"1,000,000",0.27,1,1
2012,5,1,2,24,0,0,90285,"1,000,000",0.09,1,0
2013,5,1,2,32,1,0,230443,"1,000,000",0.23,1,1
2014,5,1,4,31,1,1,356286,"1,000,000",0.36,1,0
2015,5,1,2,40,0,1,292960,"1,000,000",0.29,1,1
1955,6,1,1,29,1,0,190907,"1,000,000",0.19,0,1
1956,6,1,2,39,1,1,90756,"1,000,000",0.09,0,0
1957,6,1,3,31,0,1,190660,"1,000,000",0.19,1,1
1958,6,1,3,35,1,0,479524,"1,000,000",0.48,0,1
1959,6,1,3,39,1,1,68876,"1,000,000",0.07,1,0
1960,6,1,4,23,0,1,309608,"1,000,000",0.31,0,1
1961,6,1,4,24,0,1,436221,"1,000,000",0.44,1,1
1962,6,1,2,36,0,0,133368,"1,000,000",0.13,1,1
1963,6,1,4,35,0,1,33694,"1,000,000",0.03,1,0
1964,6,1,4,20,0,0,116239,"1,000,000",0.12,0,0
1965,6,1,5,31,0,0,53081,"1,000,000",0.05,1,0
1966,6,1,1,31,0,1,187524,"1,000,000",0.19,1,1
1967,6,1,2,23,0,0,69220,"1,000,000",0.07,1,0
1968,6,1,4,20,1,1,457678,"1,000,000",0.46,0,1
1969,6,1,2,35,1,1,448572,"1,000,000",0.45,0,0
1970,6,1,3,30,1,1,209050,"1,000,000",0.21,1,1
1971,6,1,5,27,0,0,151090,"1,000,000",0.15,1,0
1972,6,1,2,38,0,1,372327,"1,000,000",0.37,1,0
1973,6,1,2,32,1,1,63683,"1,000,000",0.06,1,0
1974,6,1,3,22,0,1,269403,"1,000,000",0.27,1,0
1975,6,1,1,31,1,0,68001,"1,000,000",0.07,0,1
1976,6,1,3,22,0,1,108535,"1,000,000",0.11,1,1
1977,6,1,2,25,1,0,22940,"1,000,000",0.02,0,1
1978,6,1,2,31,1,1,343256,"1,000,000",0.34,0,1
1979,6,1,4,29,1,1,346139,"1,000,000",0.35,1,1
1980,6,1,3,38,1,0,40409,"1,000,000",0.04,1,1
1981,6,1,1,28,0,1,263852,"1,000,000",0.26,1,1
1982,6,1,1,23,0,0,133346,"1,000,000",0.13,0,1
1983,6,1,4,23,1,0,214868,"1,000,000",0.21,0,0
1984,6,1,5,21,0,1,204334,"1,000,000",0.2,0,1
1985,6,1,2,34,0,0,480343,"1,000,000",0.48,1,1
1986,6,1,2,35,0,0,386362,"1,000,000",0.39,0,1
1987,6,1,2,23,0,0,153309,"1,000,000",0.15,1,1
1988,6,1,3,27,1,1,153637,"1,000,000",0.15,1,0
1989,6,1,1,28,1,1,234583,"1,000,000",0.23,1,1
1990,6,1,4,22,1,1,263210,"1,000,000",0.26,0,0
1991,6,1,5,21,0,1,104482,"1,000,000",0.1,0,0
1992,6,1,4,31,1,0,81970,"1,000,000",0.08,0,0
1993,6,1,2,25,1,0,296953,"1,000,000",0.3,0,0
1994,6,1,1,20,1,1,827,"1,000,000",0,1,1
1995,6,1,2,40,1,0,322882,"1,000,000",0.32,0,0
1996,6,1,3,26,1,1,480289,"1,000,000",0.48,0,1
1997,6,1,3,29,1,1,334298,"1,000,000",0.33,0,1
1998,6,1,4,34,0,0,11326,"1,000,000",0.01,1,1
1999,6,1,2,39,1,1,273995,"1,000,000",0.27,1,0
2000,6,1,1,27,0,0,354622,"1,000,000",0.35,0,0
2001,6,1,4,26,1,1,314683,"1,000,000",0.31,0,1
2002,6,1,1,27,1,1,212094,"1,000,000",0.21,1,0
2003,6,1,1,29,1,1,135490,"1,000,000",0.14,0,1
2004,6,1,3,21,0,0,312921,"1,000,000",0.31,0,0
2005,6,1,1,32,1,1,408024,"1,000,000",0.41,0,1
2006,6,1,5,36,0,0,273087,"1,000,000",0.27,1,0
2007,6,1,2,23,1,1,458144,"1,000,000",0.46,0,0
2008,6,1,1,33,0,1,316997,"1,000,000",0.32,1,0
2009,6,1,4,40,1,1,414153,"1,000,000",0.41,1,1
2010,6,1,2,26,1,1,130083,"1,000,000",0.13,1,1
2011,6,1,3,22,0,0,104732,"1,000,000",0.1,0,1
2012,6,1,2,29,1,0,124235,"1,000,000",0.12,1,0
2013,6,1,1,39,1,1,62383,"1,000,000",0.06,1,1
2014,6,1,3,32,0,0,359322,"1,000,000",0.36,0,0
2015,6,1,2,25,1,0,381660,"1,000,000",0.38,0,1
1955,7,1,3,30,1,0,219472,"1,000,000",0.22,1,0
1956,7,1,2,30,0,1,50114,"1,000,000",0.05,1,0
1957,7,1,2,23,0,1,249139,"1,000,000",0.25,1,1
1958,7,1,3,33,1,0,481231,"1,000,000",0.48,0,1
1959,7,1,5,21,1,1,14570,"1,000,000",0.01,0,1
1960,7,1,2,24,1,1,377164,"1,000,000",0.38,1,0
1961,7,1,2,30,0,0,381700,"1,000,000",0.38,1,1
1962,7,1,1,23,0,0,62339,"1,000,000",0.06,0,1
1963,7,1,5,34,0,0,40609,"1,000,000",0.04,0,0
1964,7,1,2,25,1,1,380001,"1,000,000",0.38,0,0
1965,7,1,1,24,0,0,280351,"1,000,000",0.28,0,0
1966,7,1,2,32,1,1,61877,"1,000,000",0.06,1,1
1967,7,1,4,29,1,0,33438,"1,000,000",0.03,0,1
1968,7,1,4,39,0,1,114664,"1,000,000",0.11,0,0
1969,7,1,2,24,0,0,178735,"1,000,000",0.18,0,0
1970,7,1,1,20,1,0,242907,"1,000,000",0.24,0,1
1971,7,1,5,26,0,0,395499,"1,000,000",0.4,0,0
1972,7,1,5,24,0,0,374933,"1,000,000",0.37,1,0
1973,7,1,4,36,1,0,433623,"1,000,000",0.43,0,1
1974,7,1,2,40,0,1,231795,"1,000,000",0.23,1,1
1975,7,1,5,32,1,0,14090,"1,000,000",0.01,1,1
1976,7,1,2,29,0,1,353218,"1,000,000",0.35,1,1
1977,7,1,3,35,0,0,467107,"1,000,000",0.47,0,0
1978,7,1,4,29,0,0,373480,"1,000,000",0.37,1,1
1979,7,1,5,30,0,1,281615,"1,000,000",0.28,1,1
1980,7,1,5,36,1,0,87884,"1,000,000",0.09,1,0
1981,7,1,4,20,1,0,68753,"1,000,000",0.07,0,0
1982,7,1,2,31,1,0,337480,"1,000,000",0.34,1,0
1983,7,1,5,34,1,1,91216,"1,000,000",0.09,0,1
1984,7,1,2,23,1,0,275978,"1,000,000",0.28,0,0
1985,7,1,5,25,1,0,149979,"1,000,000",0.15,1,1
1986,7,1,5,24,0,0,258029,"1,000,000",0.26,0,1
1987,7,1,3,31,0,0,325200,"1,000,000",0.33,1,0
1988,7,1,3,38,1,1,437920,"1,000,000",0.44,1,1
1989,7,1,4,30,0,0,18650,"1,000,000",0.02,1,0
1990,7,1,2,33,1,1,496106,"1,000,000",0.5,1,0
1991,7,1,2,24,0,0,164720,"1,000,000",0.16,1,0
1992,7,1,5,22,0,0,47696,"1,000,000",0.05,0,1
1993,7,1,2,31,0,1,109986,"1,000,000",0.11,1,0
1994,7,1,2,22,1,1,195916,"1,000,000",0.2,0,1
1995,7,1,1,23,0,0,58982,"1,000,000",0.06,0,0
1996,7,1,1,32,0,1,383705,"1,000,000",0.38,1,1
1997,7,1,3,33,1,1,83048,"1,000,000",0.08,0,0
1998,7,1,2,34,0,1,175945,"1,000,000",0.18,1,1
1999,7,1,2,32,0,0,173077,"1,000,000",0.17,1,1
2000,7,1,3,29,1,0,14702,"1,000,000",0.01,1,1
2001,7,1,4,36,1,0,98545,"1,000,000",0.1,0,1
2002,7,1,3,36,1,0,267887,"1,000,000",0.27,0,0
2003,7,1,2,33,0,1,30599,"1,000,000",0.03,0,1
2004,7,1,1,37,1,1,491318,"1,000,000",0.49,1,0
